time,ISEQ All Share,volume
16/01/1987 01:00,1177.52,0
19/01/1987 01:00,1180.99,0
20/01/1987 01:00,1196.63,0
21/01/1987 01:00,1191.52,0
22/01/1987 01:00,1173.36,0
23/01/1987 01:00,1184.03,0
26/01/1987 01:00,1191.99,0
27/01/1987 01:00,1189.2,0
28/01/1987 01:00,1195.59,0
29/01/1987 01:00,1189.22,0
30/01/1987 01:00,1193.61,0
02/02/1987 01:00,1195.89,0
03/02/1987 01:00,1188.1,0
04/02/1987 01:00,1187.4,0
05/02/1987 01:00,1190.36,0
06/02/1987 01:00,1190.8,0
09/02/1987 01:00,1200.42,0
10/02/1987 01:00,1199.52,0
11/02/1987 01:00,1198.85,0
12/02/1987 01:00,1197.62,0
13/02/1987 01:00,1201.63,0
16/02/1987 01:00,1204.98,0
17/02/1987 01:00,1219.44,0
18/02/1987 01:00,1249.74,0
19/02/1987 01:00,1249.54,0
20/02/1987 01:00,1241.19,0
23/02/1987 01:00,1255.13,0
24/02/1987 01:00,1257.95,0
25/02/1987 01:00,1259.92,0
26/02/1987 01:00,1267.4,0
27/02/1987 01:00,1263.61,0
02/03/1987 01:00,1271.09,0
03/03/1987 01:00,1261.74,0
04/03/1987 01:00,1264.3,0
05/03/1987 01:00,1279.64,0
06/03/1987 01:00,1275.16,0
09/03/1987 01:00,1304.04,0
10/03/1987 01:00,1316.4,0
11/03/1987 01:00,1326.46,0
12/03/1987 01:00,1352.4,0
13/03/1987 01:00,1357.72,0
16/03/1987 01:00,1344.38,0
17/03/1987 01:00,1356.78,0
18/03/1987 01:00,1356.78,0
19/03/1987 01:00,1339.58,0
20/03/1987 01:00,1326.98,0
23/03/1987 01:00,1347.39,0
24/03/1987 01:00,1353.91,0
25/03/1987 01:00,1358.64,0
26/03/1987 01:00,1369.12,0
27/03/1987 01:00,1378.22,0
30/03/1987 02:00,1358.9,0
31/03/1987 02:00,1316.59,0
01/04/1987 02:00,1293.55,0
02/04/1987 02:00,1286.33,0
03/04/1987 02:00,1285.32,0
06/04/1987 02:00,1294.51,0
07/04/1987 02:00,1298.7,0
08/04/1987 02:00,1284.26,0
09/04/1987 02:00,1277.9,0
10/04/1987 02:00,1258.94,0
13/04/1987 02:00,1245.31,0
14/04/1987 02:00,1219.02,0
15/04/1987 02:00,1233.99,0
16/04/1987 02:00,1247.63,0
17/04/1987 02:00,1252.71,0
20/04/1987 02:00,1252.71,0
21/04/1987 02:00,1252.71,0
22/04/1987 02:00,1266.58,0
23/04/1987 02:00,1260.45,0
24/04/1987 02:00,1262.89,0
27/04/1987 02:00,1261.03,0
28/04/1987 02:00,1253.08,0
29/04/1987 02:00,1256.59,0
30/04/1987 02:00,1277.23,0
01/05/1987 02:00,1306.82,0
04/05/1987 02:00,1312.84,0
05/05/1987 02:00,1318.17,0
06/05/1987 02:00,1315.19,0
07/05/1987 02:00,1311.77,0
08/05/1987 02:00,1317.07,0
11/05/1987 02:00,1339.55,0
12/05/1987 02:00,1335.1,0
13/05/1987 02:00,1343.38,0
14/05/1987 02:00,1359.65,0
15/05/1987 02:00,1362.25,0
18/05/1987 02:00,1359.95,0
19/05/1987 02:00,1348.87,0
20/05/1987 02:00,1332.25,0
21/05/1987 02:00,1335.12,0
22/05/1987 02:00,1336.03,0
25/05/1987 02:00,1343.85,0
26/05/1987 02:00,1339.75,0
27/05/1987 02:00,1332.78,0
28/05/1987 02:00,1337.84,0
29/05/1987 02:00,1340.63,0
01/06/1987 02:00,1343.84,0
02/06/1987 02:00,1343.84,0
03/06/1987 02:00,1342.64,0
04/06/1987 02:00,1348.08,0
05/06/1987 02:00,1360.34,0
08/06/1987 02:00,1346.95,0
09/06/1987 02:00,1339.49,0
10/06/1987 02:00,1336.77,0
11/06/1987 02:00,1348.72,0
12/06/1987 02:00,1352.88,0
15/06/1987 02:00,1358.8,0
16/06/1987 02:00,1362.48,0
17/06/1987 02:00,1371.56,0
18/06/1987 02:00,1378.36,0
19/06/1987 02:00,1382.87,0
22/06/1987 02:00,1373.09,0
23/06/1987 02:00,1369.48,0
24/06/1987 02:00,1374.13,0
25/06/1987 02:00,1375.23,0
26/06/1987 02:00,1381.2,0
29/06/1987 02:00,1397.35,0
30/06/1987 02:00,1398.18,0
01/07/1987 02:00,1392.97,0
02/07/1987 02:00,1414.98,0
03/07/1987 02:00,1430.1,0
06/07/1987 02:00,1435.72,0
07/07/1987 02:00,1440.77,0
08/07/1987 02:00,1448.25,0
09/07/1987 02:00,1468.64,0
10/07/1987 02:00,1514.16,0
13/07/1987 02:00,1554.17,0
14/07/1987 02:00,1553.65,0
15/07/1987 02:00,1566.88,0
16/07/1987 02:00,1566.47,0
17/07/1987 02:00,1577.23,0
20/07/1987 02:00,1587.72,0
21/07/1987 02:00,1565.23,0
22/07/1987 02:00,1562.87,0
23/07/1987 02:00,1536.97,0
24/07/1987 02:00,1548.94,0
27/07/1987 02:00,1549.65,0
28/07/1987 02:00,1556.06,0
29/07/1987 02:00,1570.81,0
30/07/1987 02:00,1583.47,0
31/07/1987 02:00,1576.38,0
03/08/1987 02:00,1553.03,0
04/08/1987 02:00,1553.03,0
05/08/1987 02:00,1558.05,0
06/08/1987 02:00,1532.76,0
07/08/1987 02:00,1507.55,0
10/08/1987 02:00,1500.19,0
11/08/1987 02:00,1524.42,0
12/08/1987 02:00,1572.68,0
13/08/1987 02:00,1586.3,0
14/08/1987 02:00,1588.42,0
17/08/1987 02:00,1594.79,0
18/08/1987 02:00,1568.48,0
19/08/1987 02:00,1551.03,0
20/08/1987 02:00,1533.43,0
21/08/1987 02:00,1536.57,0
24/08/1987 02:00,1560.01,0
25/08/1987 02:00,1556.47,0
26/08/1987 02:00,1570.38,0
27/08/1987 02:00,1573.89,0
28/08/1987 02:00,1578.73,0
31/08/1987 02:00,1583.95,0
01/09/1987 02:00,1585.66,0
02/09/1987 02:00,1584.89,0
03/09/1987 02:00,1589.22,0
04/09/1987 02:00,1594.2,0
07/09/1987 02:00,1590.21,0
08/09/1987 02:00,1590.35,0
09/09/1987 02:00,1570.94,0
10/09/1987 02:00,1561.77,0
11/09/1987 02:00,1564.72,0
14/09/1987 02:00,1574.37,0
15/09/1987 02:00,1568.53,0
16/09/1987 02:00,1562.48,0
17/09/1987 02:00,1567.41,0
18/09/1987 02:00,1570.23,0
21/09/1987 02:00,1584.9,0
22/09/1987 02:00,1592.03,0
23/09/1987 02:00,1597.64,0
24/09/1987 02:00,1592.97,0
25/09/1987 02:00,1604.65,0
28/09/1987 01:00,1619.98,0
29/09/1987 01:00,1629.66,0
30/09/1987 01:00,1670.85,0
01/10/1987 01:00,1704.65,0
02/10/1987 01:00,1721.83,0
05/10/1987 01:00,1719.09,0
06/10/1987 01:00,1725.55,0
07/10/1987 01:00,1706.23,0
08/10/1987 01:00,1728.92,0
09/10/1987 01:00,1747.13,0
12/10/1987 01:00,1750.08,0
13/10/1987 01:00,1740.45,0
14/10/1987 01:00,1740.67,0
15/10/1987 01:00,1699.88,0
16/10/1987 01:00,1664.69,0
19/10/1987 01:00,1564.62,0
20/10/1987 01:00,1377.1,0
21/10/1987 01:00,1454.6,0
22/10/1987 01:00,1362.94,0
23/10/1987 01:00,1365.85,0
26/10/1987 01:00,1295.09,0
27/10/1987 01:00,1295.09,0
28/10/1987 01:00,1180.77,0
29/10/1987 01:00,1178.63,0
30/10/1987 01:00,1212.15,0
02/11/1987 01:00,1197.41,0
03/11/1987 01:00,1155.99,0
04/11/1987 01:00,1068.83,0
05/11/1987 01:00,1054.08,0
06/11/1987 01:00,1050.41,0
09/11/1987 01:00,1023.68,0
10/11/1987 01:00,971.44,0
11/11/1987 01:00,983.49,0
12/11/1987 01:00,1071.21,0
13/11/1987 01:00,1089.02,0
16/11/1987 01:00,1110.28,0
17/11/1987 01:00,1066.4,0
18/11/1987 01:00,1051.65,0
19/11/1987 01:00,1028.45,0
20/11/1987 01:00,1002.65,0
23/11/1987 01:00,1033.96,0
24/11/1987 01:00,1044.4,0
25/11/1987 01:00,1039.19,0
26/11/1987 01:00,1032.05,0
27/11/1987 01:00,1032.15,0
30/11/1987 01:00,982.32,0
01/12/1987 01:00,987.78,0
02/12/1987 01:00,984.86,0
03/12/1987 01:00,969.13,0
04/12/1987 01:00,933.18,0
07/12/1987 01:00,945.16,0
08/12/1987 01:00,965.73,0
09/12/1987 01:00,975.74,0
10/12/1987 01:00,927.4,0
11/12/1987 01:00,941.26,0
14/12/1987 01:00,957.3,0
15/12/1987 01:00,977.4,0
16/12/1987 01:00,996.51,0
17/12/1987 01:00,1007,0
18/12/1987 01:00,987.71,0
21/12/1987 01:00,1011.51,0
22/12/1987 01:00,1022.03,0
23/12/1987 01:00,1025.81,0
24/12/1987 01:00,1035.26,0
25/12/1987 01:00,1018.22,0
28/12/1987 01:00,1018.22,0
29/12/1987 01:00,1018.22,0
30/12/1987 01:00,1018.22,0
04/01/1988 01:00,1000.4,0
